Month,years.effective,sales.tax.rate,city,year,local.sales.tax.revenue,County,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,mif
September,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
October,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
November,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
December,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
Total,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
January,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
February,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
March,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
April,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
May,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
June,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
July,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
August,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
September,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
October,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
November,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
December,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
Total,2004-2020,0.05,Glenwood,2004,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
January,2004-2020,.05 - .1,Hermantown,2004,89514.99,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,.05 - .1,Hermantown,2004,87277.37,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,.05 - .1,Hermantown,2004,67678.02,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,.05 - .1,Hermantown,2004,76885,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,.05 - .1,Hermantown,2004,85754.16,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,.05 - .1,Hermantown,2004,97632,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,.05 - .1,Hermantown,2004,71828.95,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,.05 - .1,Hermantown,2004,125735.92,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,.05 - .1,Hermantown,2004,104256,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,.05 - .1,Hermantown,2004,92348.5,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,.05 - .1,Hermantown,2004,93154.93,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,.05 - .1,Hermantown,2004,86343.56,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,.05 - .1,Hermantown,2004,1078409.4000000001,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
February,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
March,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
April,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
May,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
June,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
July,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
August,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
September,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
October,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
November,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
December,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
Total,2004-2020,0.05,Hutchinson,2004,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
January,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,0.1,International Falls,2004,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Lanesboro,2004,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Mankato,2004,402333.35,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Mankato,2004,402333.35,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Mankato,2004,275334.40000000002,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Mankato,2004,275334.40000000002,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Mankato,2004,251128.25,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Mankato,2004,251128.25,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Mankato,2004,290085.03000000003,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Mankato,2004,290085.03000000003,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Mankato,2004,289301.53999999998,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Mankato,2004,289301.53999999998,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Mankato,2004,292646.58,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Mankato,2004,292646.58,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Mankato,2004,238928.75,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Mankato,2004,238928.75,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Mankato,2004,380241.12,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Mankato,2004,380241.12,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Mankato,2004,300536.08,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Mankato,2004,300536.08,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Mankato,2004,319787.33,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Mankato,2004,319787.33,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Mankato,2004,294406.86,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Mankato,2004,294406.86,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Mankato,2004,316073.27,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Mankato,2004,316073.27,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Mankato,2004,3650802.56,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Mankato,2004,3650802.56,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
February,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
March,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
April,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
May,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
June,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
July,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
August,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
September,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
October,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
November,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
December,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
Total,2004-2020,0.05,Marshall,2004,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
January,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Medford,2004,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Minneapolis,2004,2327880.12,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Minneapolis,2004,2327880.12,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,Minneapolis,2004,2005954.86,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,Minneapolis,2004,2005954.86,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,Minneapolis,2004,1780700.4,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,Minneapolis,2004,1780700.4,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,Minneapolis,2004,2171308.92,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,Minneapolis,2004,2171308.92,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,Minneapolis,2004,1960443.49,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,Minneapolis,2004,1960443.49,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,Minneapolis,2004,2075997.91,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,Minneapolis,2004,2075997.91,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,Minneapolis,2004,1668310.94,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,Minneapolis,2004,1668310.94,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,Minneapolis,2004,2500680.35,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,Minneapolis,2004,2500680.35,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,Minneapolis,2004,1906141.21,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,Minneapolis,2004,1906141.21,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,Minneapolis,2004,2154138.84,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,Minneapolis,2004,2154138.84,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,Minneapolis,2004,2006687.49,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,Minneapolis,2004,2006687.49,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,Minneapolis,2004,1867139.13,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,Minneapolis,2004,1867139.13,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,Minneapolis,2004,24425383.659999996,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,Minneapolis,2004,24425383.659999996,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,0.05,Moose Lake,2004,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
February,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
March,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
April,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
May,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
June,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
July,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
August,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
September,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
October,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
November,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
December,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
Total,2004-2020,0.05,New London,2004,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
January,2004-2020,0.05,New Ulm,2004,77026,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,New Ulm,2004,49443.43,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,New Ulm,2004,45681.39,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,New Ulm,2004,59736.34,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,New Ulm,2004,58353,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,New Ulm,2004,62424.58,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,New Ulm,2004,58568.32,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,New Ulm,2004,78331,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,New Ulm,2004,60133.82,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,New Ulm,2004,61015.61,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,New Ulm,2004,57413,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,New Ulm,2004,54588,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,New Ulm,2004,722714.49,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,North Mankato,2004,-,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
